Index,Restaurant Name,Address,Phone,Website,Email,WhatsApp,Rating,Review Count,Category,Hours,Facebook,Instagram,Twitter,Scraped At
1,Diyar Sofrasi,"Rodheimer Str. 42, 35398 Gießen",0641 9842656,"https://Rodheimer Str. 42, 35398 Gießen",,,4.2,,Türkisches Restaurant,,,,,2025-06-26T09:55:54.316Z
2,Süleyman Ustanin Yeri,"Marburger Str. 39, 35390 Gießen",0641 3019169,"https://Marburger Str. 39, 35390 Gießen",,,4.3,,Türkisches Restaurant,,,,,2025-06-26T09:56:00.384Z
3,Mega Tandur,"Asterweg 10, 35390 Gießen",0641 9311967,http://megatandur.de/,,,4.8,,Türkisches Restaurant,,,,,2025-06-26T09:56:05.549Z
4,Keyf-i Mangal,"Asterweg 3, 35390 Gießen",0641 97244005,http://www.keyfi-mangal.de/,,,4.1,,Türkisches Restaurant,,,,,2025-06-26T09:56:09.866Z
5,Saray Ocakbaşı,"Marburger Str. 227, 35396 Gießen",0641 98447539,https://www.sarayocakbasi.de/,,,4.4,,Türkisches Restaurant,,,,,2025-06-26T09:56:14.477Z
6,Kokorec Gokorec Giessen,"Frankfurter Str. 43, 35392 Gießen",0641 13279629,https://www.instagram.com/gokorecgiessen,,,4.2,,Türkisches Restaurant,,,https://www.instagram.com/gokorecgiessen,,2025-06-26T09:56:19.362Z
7,Haus des Döners,"Mäusburg 1, 35390 Gießen",,https://hausdesdoners.de/,,,4.3,,Döner-Restaurant,,,,,2025-06-26T09:56:24.717Z
8,Suleyman am Bahnhof,"Bahnhofstraße 95a, 35390 Gießen",0641 13268435,"Bahnhofstraße 95a, 35390 Gießen",,,4.2,,Türkisches Restaurant,,,,,2025-06-26T09:56:29.216Z
9,Hayati Gießen,"Kaplansgasse 4, 35390 Gießen",0641 58090674,"Kaplansgasse 4, 35390 Gießen",,,4.3,,Orientalisches Restaurant,,,,,2025-06-26T09:56:35.635Z
10,Seyran Kebap Haus,"Neustadt 17, 35390 Gießen",0641 94461762,https://vunyu.com/seyran-kebap-haus-563327-de,,,4.3,,Kebabimbiss,,,,,2025-06-26T09:56:40.901Z
11,Beklen's Grill Gießen,"Klinikstraße 24, 35392 Gießen",0162 8565165,https://beklens-grill-giessen.de/6859?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,,,4.5,,Restaurant mit Essen zum Mitnehmen,,,,,2025-06-26T09:56:45.668Z
12,Kapadokya Grill & Burger,"Frankfurter Str. 32, 35392 Gießen",0641 2091716,"https://Frankfurter Str. 32, 35392 Gießen",,,3.9,,Türkisches Restaurant,,,,,2025-06-26T09:56:50.918Z
13,Turhan Kebap Haus,"Walltorstraße 14, 35390 Gießen",0641 3011827,"Walltorstraße 14, 35390 Gießen",,,4.3,,Türkisches Restaurant,,,,,2025-06-26T09:56:56.417Z
14,Aydin's Grill,"Bahnhofstraße 71, 35390 Gießen",0641 92336224,"Bahnhofstraße 71, 35390 Gießen",,,4.1,,Türkisches Restaurant,,,,,2025-06-26T09:57:00.530Z
15,Cigköfte 27 Gießen,"Schulstraße 9, 35390 Gießen",0641 1314367,https://cigkoefte27.split-app.de/home,,,4.6,,Veganes Restaurant,,,,,2025-06-26T09:57:05.115Z
16,Umut Döner,"Rodheimer Str. 32, 35398 Gießen",0641 58174582,"https://Rodheimer Str. 32, 35398 Gießen",,,4.6,,Döner-Restaurant,,,,,2025-06-26T09:57:12.540Z
17,Döner Welt,"Ludwigspl. 2A, 35390 Gießen",0641 58152799,https://xn--dner-welt-07a.de/delivery?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,,,4.2,,Türkisches Restaurant,,,,,2025-06-26T09:57:17.971Z
18,Troja Grill,"Bismarckstraße 14, 35390 Gießen",0163 1221239,"Bismarckstraße 14, 35390 Gießen",,,4.0,,Türkisches Restaurant,,,,,2025-06-26T09:57:22.323Z
